"sample","Condition","Donor","meta_text"
"GSM1684095","Control","Donor 1"," donor 1 - no virus control   - 8h blood pdcs donor: donor 1 agent: no virus control cell type: primary human pdcs"
"GSM1684096","Influenza","Donor 1"," donor 1 - influenza treated - 8h blood pdcs donor: donor 1 agent: influenza a cell type: primary human pdcs"
"GSM1684097","Control","Donor 2"," donor 2 - no virus control   - 8h blood pdcs donor: donor 2 agent: no virus control cell type: primary human pdcs"
"GSM1684098","Influenza","Donor 2"," donor 2 - influenza treated - 8h blood pdcs donor: donor 2 agent: influenza a cell type: primary human pdcs"
"GSM1684099","Control","Donor 3"," donor 3 - no virus control   - 8h blood pdcs donor: donor 3 agent: no virus control cell type: primary human pdcs"
"GSM1684100","Influenza","Donor 3"," donor 3 - influenza treated - 8h blood pdcs donor: donor 3 agent: influenza a cell type: primary human pdcs"
"GSM1684101","Control","Donor 4"," donor 4 - no virus control   - 8h blood pdcs donor: donor 4 agent: no virus control cell type: primary human pdcs"
"GSM1684102","Influenza","Donor 4"," donor 4 - influenza treated - 8h blood pdcs donor: donor 4 agent: influenza a cell type: primary human pdcs"
"GSM1684103","Control","Donor 5"," donor 5 - no virus control   - 8h blood pdcs donor: donor 5 agent: no virus control cell type: primary human pdcs"
"GSM1684104","Influenza","Donor 5"," donor 5 - influenza treated - 8h blood pdcs donor: donor 5 agent: influenza a cell type: primary human pdcs"
